created_date,Price,Area,Bedrooms,Bathrooms,Parking_Spaces,extract_date,Latitude,Longitude,Rua,Bairro
2021-10-29,779843.0,57,2,2,1,2024-11-25,-23.610165815668395,-46.64216431849309,Rua Guarujá 79,Mirandópolis
2018-03-27,365000.0,53,2,2,1,2024-11-25,-23.46831591033869,-46.57634386764863,Rua Itza 90,Jardim Modelo
2018-03-27,367810.0,57,2,2,1,2024-11-25,-23.466797035185436,-46.63195173462907,Rua Almirante José Saldanha da Gama 74,Parque Mandaqui
2021-02-08,1300000.0,71,2,2,2,2024-11-25,-23.62779639609098,-46.68033268772035,Rua Antônio de Macedo Soares 878,Campo Belo
2021-02-08,1915000.0,100,2,2,2,2024-11-25,-23.622231353646125,-46.66995399444336,Rua Pascal 1907,Campo Belo
2018-03-27,461000.0,60,2,2,2,2024-11-25,-23.6325369819107,-46.738946752520434,Rua Maria José da Conceição 75,Vila Andrade
2022-05-12,480000.0,69,2,2,2,2024-11-25,-23.63674591903339,-46.737134210900216,Rua Catuti 21,Vila Andrade
2018-03-27,798107.0,64,2,2,2,2024-11-25,-23.58876005,-46.598058,Rua Dom Lucas Obes 24,Ipiranga
2022-03-17,625000.0,72,2,2,2,2024-11-25,-23.6266995909751,-46.74256839909546,Rua Francisco José da Silva 292,Vila Andrade
2018-03-28,819000.0,91,2,2,3,2024-11-25,-23.62730925908938,-46.73733906995751,Rua Francisco Pessoa 575,Vila Andrade
2019-09-02,2959990.0,122,2,2,3,2024-11-25,-23.58041983459817,-46.67316656445519,Rua Pedroso Alvarenga 273,Itaim Bibi
2018-03-27,330000.0,73,2,2,3,2024-11-25,-23.619048090113985,-46.59917884972644,Rua Izonzo,Sacomã
2022-03-17,545000.0,80,2,2,3,2024-11-25,-23.630587699667142,-46.73644710153039,Avenida Giovanni Gronchi 4855,Vila Andrade
2018-03-27,714000.0,84,2,2,3,2024-11-25,-23.53567727802248,-46.75658004242934,Avenida Venceslau de Queirós 480,Jaguaré
2018-03-27,1150000.0,80,2,2,3,2024-11-25,-23.630587699667142,-46.73644710153039,Avenida Giovanni Gronchi 100,Vila Andrade
2023-10-24,850000.0,143,2,2,3,2024-11-25,-23.567748633562463,-46.61236999349168,Rua da Independência 1206,Cambuci
2018-10-06,1190000.0,235,2,2,4,2024-11-25,-23.58201506044492,-46.67449954380559,Rua Jesuíno Arruda 1,Itaim Bibi
2019-05-16,530000.0,117,2,2,4,2024-11-25,-23.5511201,-46.68047802102871,Rua Capote Valente 1335,Pinheiros
2024-08-16,2400000.0,65,2,2,2,2024-11-25,-23.71878873887665,-46.54656063036209,Rua Quirino de Lima 72,Centro
2023-06-29,1740000.0,45,2,2,48,2024-11-25,-23.480248424390066,-46.67345672255118,Avenida Inajar de Souza 3900,Limão
2018-10-06,191000.0,63,2,2,6,2024-11-25,-23.61256511871316,-46.63077546264822,Rua Traituba 200,Saúde
2018-03-27,2300000.0,102,2,3,1,2024-11-25,-23.603067208480155,-46.67258698108234,Avenida Pavão 224,Indianópolis
