Created_Date,Price,Area,Bedrooms,Bathrooms,Parking_Spaces,Latitude,Longitude,Neighborhood
2018,800000.0,92,3,2,3,-23.47939971102501,-46.63716308303501,Lauzane Paulista
2024,650000.0,89,3,2,3,-23.49055460862165,-46.64633630590326,Imirim
2021,650000.0,74,3,2,3,-23.4733406,-46.63707436738712,Parque Mandaqui
2020,1602317.3015935991,83,3,2,3,-23.53567727802248,-46.75658004242934,Jaguaré
2018,11000000.0,367,3,2,5,-23.60085692299475,-46.66493699314566,Indianópolis
2023,2990000.0,160,3,2,4,-23.61356673235428,-46.62548820113288,Saúde
2018,3400000.0,243,3,2,4,-23.532111067403328,-46.714955465915885,Alto da Lapa
2018,1850000.0,139,3,3,1,-23.57374485,-48.02442576609145,Jardim Paulista
2018,1350000.0,81,3,3,1,-23.62493998837156,-46.68660785860788,Santo Amaro
2018,1349000.0,110,3,3,1,-23.560291300000003,-46.669136678071794,Cerqueira César
2018,1900000.0,135,3,3,1,-23.623279040993022,-46.67382946935149,Campo Belo
2021,1997000.0,82,3,3,1,-23.6056702,-46.66821719513412,Moema
2018,530000.0,60,3,3,1,-23.547382640565434,-46.54163573745083,Vila Carrão
2018,2930000.0,165,3,3,1,-23.56583305,-46.66258415953999,Jardim Paulista
2022,2499980.0,210,3,3,1,-23.57112706903883,-46.66093732843387,Jardim Paulista
2018,3000000.0,167,3,3,1,-23.56856885,-46.66445624956494,Cerqueira César
2018,1300000.0,90,3,3,2,-23.646251584244236,-46.66469881394303,Vila Mascote
2023,960000.0,84,3,3,2,-23.52979815,-46.70429719971405,Vila Ipojuca
2018,830000.0,80,3,3,2,-23.615585373599497,-46.635555565879706,Saúde
2019,1075000.0,84,3,3,2,-23.5704471,-46.7079033,Butantã
2021,1700000.0,114,3,3,2,-23.61090705,-46.66036110752038,Indianópolis
2018,690000.0,71,3,3,2,-23.6342207562844,-46.73503521868481,Vila Andrade
2018,3100000.0,165,3,3,3,-23.5402524,-46.5766424,Tatuapé
2018,4850000.0,181,3,3,3,-23.60347805,-46.66388079993412,Moema
2022,3300000.0,229,3,3,3,-23.57416005617354,-46.64740809458135,Paraíso
2020,2089990.0,157,3,3,3,-23.53248898364188,-46.71803529651695,Alto da Lapa
2018,1000000.0,90,3,3,3,-23.64686490610052,-46.6687691075628,Vila Mascote
2018,1280000.0,285,3,3,3,-23.56781785,-46.66117391528151,Jardim Paulista
2022,1350000.0,158,3,3,3,-23.5730763167496,-46.59138820481397,Parque da Mooca
2022,1099000.0,110,3,3,4,-23.53118665,-46.68456185465483,Perdizes
2019,4800000.0,98,3,3,11,-23.50217415,-46.700574445806254,Freguesia do Ó
2024,5850000.0,160,3,3,4,-23.1691829,-46.9136887,Vila Suzana
2018,2545000.0,244,3,3,4,-23.53429695,-46.67916283583703,Perdizes
2024,3090000.0,370,3,3,5,-23.63083285,-46.7345245,Vila Andrade
2021,600000.0,160,3,3,4,-23.5287854112214,-46.55573839065235,Tatuapé
2018,2250000.0,184,3,4,1,-23.569813263552387,-46.65704219545313,Jardim Paulista
2018,2450000.0,158,3,4,1,-23.560477141121105,-46.67190602347313,Pinheiros
2018,1499000.0,190,3,4,1,-23.5669746,-46.64721010179586,Bela Vista
2020,1249980.0,113,3,4,1,-23.57562242795916,-46.6507066999601,Vila Mariana
2018,1200000.0,120,3,4,1,-23.569197248352523,-46.65046185380363,Jardim Paulista
2018,1049000.0,181,3,5,2,-23.71421841553508,-46.701987686020246,Cidade Dutra
2018,1325000.0,125,3,4,2,-23.64700152286752,-46.70490466506418,Santo Amaro
2021,2190000.0,121,3,5,2,-23.610311272727277,-46.66228303181818,Indianópolis
2018,1750000.0,120,3,5,2,-23.491609013044982,-46.63636359959168,Santa Teresinha
2018,3800000.0,149,3,5,2,-23.60730025,-46.67025938357301,Indianópolis
2021,1089970.0,150,3,5,2,-23.64775095,-46.6657463,Vila Mascote
2018,2700000.0,170,3,5,2,-23.56312165,-46.659796867467946,Jardim Paulista
2021,1050000.0,133,3,4,2,-23.624895287323262,-46.73813305222849,Vila Andrade
2018,750000.0,118,3,4,2,-23.4664042,-46.6334207,Parque Mandaqui
